30000,rsvp,geo,n,უაპჲჺლჷ ტლტⴀⴓⴡ პ ⴡჷჺ ჸჭჴაღⴃⴡ ჲაუⴓტ ტპმუ ღჺპჸჸჭⴄუ მპ უპ ჴⴓჲⴓⴡღპⴓ პმ
36900,rsvp,geo,y,ჸჷპპ პ ⴓმ ⴀჭჴლჴჲჲ ტⴀლუჸჴჸ ღჸღⴓმ უტⴀმჸაუ უჺპჴჺⴀⴄ ⴓჴⴣ ⴀⴀⴀⴀⴀⴀ ⴡჭ ლაⴡჭⴣჸ
43800,rsvp,geo,y,ღჷჺჺჺტუ ⴀⴃპლპაა აუაა ლმ ჲⴓჭⴃⴣჷ ⴄჭⴡⴣჸⴓმ ჭმღⴣლⴄჲჺ ⴃჺ ჷⴀ ჸჸლ მლ ⴣⴣⴣⴣⴣⴣⴣⴣⴣⴣ
50700,rsvp,geo,n,ⴀჭ უჲლⴃⴓჴⴄუღ ⴃმⴃმ ⴣⴀ ჺღუღპⴄმⴓ ღⴣ ჭჸაჷჭუჴⴣჷ ⴄლ ჴტღტⴄⴀუ ჺჭⴄჴⴡჷⴡჲპჺმჷ ტპჭ ამჺ
61100,rsvp,ldm,n,de chasseur tes reviendra qui glissant les la capitaine tu à relativité
68000,rsvp,ldm,y,chaque elle qualité a murs le de tome anamotiques les fruits sourires
74900,rsvp,ldm,n,une bord à cliente plaque sur partenaire organes a lisant un crispe
81800,rsvp,ldm,y,nettoie la téjautent son forêt de fleurs pot piège pente la pensées
92200,rsvp,ldm,n,le descend espère de hanter cachés élaboré à la rendu des de
99100,rsvp,ldm,y,son du bord elle parution le mabais affiche lettre patient de rangeant
106000,rsvp,ldm,n,cette détaillées pianiste trois de une paire dévale sa du retraite il
112900,rsvp,ldm,y,le disque refuge cœur va romancier le délai ce ressortir rabons du
123300,rsvp,ldm,n,évoquent sentier le retourne collègue à de qualité écrit adrien de mon
130200,rsvp,ldm,n,de collège vendeuse pour qui des bataille viennent au corps le de
137100,rsvp,ldm,n,﻿ton dans consignes parachutiste cet que ses en théorie son vide dans
144000,rsvp,ldm,y,tobart sur la voudrait miel monter plage ce le arrose le territoire
154400,rsvp,ph,y,Ils apportent des lits de camp récupérés de la base vilinaire désaffectée. 
161300,rsvp,ph,y,Le turdier se réjouit en jetant un sort maléfique sur la montagne.
168200,rsvp,ph,n,Elle tourne les pages du magazine qui traine sur la table basse. 
175100,rsvp,ph,y,Nous trolopons de marcher sur le sentier qui borde le superbe lac.
185500,rsvp,ph,n,Le chevalier a expliqué que la paix pourrait persister dans le royaume.
192400,rsvp,ph,n,Il va lancer un caillou qui ricochera sur la surface du bassin.
199300,rsvp,ph,y,Il admire le lever du soleil depuis le balcon de son iffeudre. 
